segment_name,department,sales_value,baskets,households,segment_sales,segment_baskets,segment_households,sales_share_pct,basket_penetration_pct,household_penetration_pct,overall_sales_share_pct,sales_share_index_vs_all
Dormant / lapsed households,RESTAURANT,16.14,4,4,240823.21,11154,509,0.006702011820206201,0.03586157432311279,0.7858546168958742,0.024657447812419117,0.2718047654887715
High-basket-value established shoppers,HOUSEWARES,2.99,1,1,3470600.52,83753,881,8.615223742316504e-05,0.0011939870810597829,0.11350737797956867,3.710854303445467e-05,2.3216281313759506
High-basket-value established shoppers,ELECT &PLUMBING,1.0,1,1,3470600.52,83753,881,2.8813457332162215e-05,0.0011939870810597829,0.11350737797956867,1.2410883958011597e-05,2.3216281313759497
High-basket-value established shoppers,POSTAL CENTER,18.229999999999997,9,7,3470600.52,83753,881,0.0005252693271653172,0.010745883729538046,0.7945516458569807,0.0002979853238318584,1.7627355616402984
High-basket-value established shoppers,TOYS,7.36,3,2,3470600.52,83753,881,0.00021206704596471392,0.003581961243179349,0.22701475595913734,0.00012212309814683408,1.7365023421673775
High-basket-value established shoppers,PHOTO,29.48,12,12,3470600.52,83753,881,0.0008494207221521422,0.014327844972717396,1.362088535754824,0.0005138105958616802,1.6531786790570773
High-basket-value established shoppers,FROZEN GROCERY,405.86,140,98,3470600.52,83753,881,0.011694229792831358,0.16715819134836962,11.12372304199773,0.008107534054410654,1.4423904622971608
High-basket-value established shoppers,NUTRITION,59268.450000000004,8109,721,3470600.52,83753,881,1.7077289552183899,9.68204124031378,81.83881952326901,1.2121591217303929,1.4088323262217888
High-basket-value established shoppers,RX,87.92,8,8,3470600.52,83753,881,0.002533279168643702,0.009551896648478263,0.9080590238365494,0.0019802806443403303,1.279252602848919
High-basket-value established shoppers,COUP/STR & MFG,549.61,168,88,3470600.52,83753,881,0.015836164284329674,0.20058982961804356,9.988649262202042,0.012754913661327678,1.2415736166324833
High-basket-value established shoppers,TRAVEL & LEISUR,1347.76,423,222,3470600.52,83753,881,0.03883362525399495,0.5050565352882882,25.198637911464246,0.031652470228833614,1.226875026601232
