antecedent,consequent,support,confidence,lift,basket_count
PASTRY,PRODUCE,0.058957171217141675,0.5406529770026958,1.6752806431445832,16245
PRODUCE,PASTRY,0.058957171217141675,0.18268614419216625,1.6752806431445832,16245
PASTRY,MEAT,0.034623047916991785,0.31750257929244186,1.6403109310319897,9540
MEAT,PASTRY,0.034623047916991785,0.17887276409044886,1.6403109310319894,9540
MEAT-PCKGD,NUTRITION,0.0210968320274081,0.09956324398389997,1.634798682085681,5813
NUTRITION,MEAT-PCKGD,0.0210968320274081,0.34640367081818724,1.634798682085681,5813
MEAT-PCKGD,PASTRY,0.03648848257415466,0.1722017641517513,1.5791360832232637,10054
PASTRY,MEAT-PCKGD,0.03648848257415466,0.3346091123905881,1.5791360832232637,10054
PRODUCE,SALAD BAR,0.013065301100751619,0.040484464086906646,1.3275078840940344,3600
SALAD BAR,PRODUCE,0.013065301100751619,0.42841842199214564,1.3275078840940342,3600
DRUG GM,NUTRITION,0.03443432690109204,0.08054808010662773,1.3225753795661819,9488
NUTRITION,DRUG GM,0.03443432690109204,0.565401346761218,1.3225753795661817,9488
DRUG GM,SEAFOOD-PCKGD,0.017899462508029717,0.04187006019033389,1.3041865831770756,4932
SEAFOOD-PCKGD,DRUG GM,0.017899462508029717,0.5575401311327154,1.3041865831770756,4932
MEAT-PCKGD,GROCERY,0.2057639753356149,0.971071336815963,1.2435018569938312,56696
GROCERY,MEAT-PCKGD,0.2057639753356149,0.2634903077988409,1.243501856993831,56696
GROCERY,SEAFOOD-PCKGD,0.030993797611227447,0.039688994437034386,1.2362498121395002,8540
SEAFOOD-PCKGD,GROCERY,0.030993797611227447,0.9654080940538097,1.2362498121395002,8540
MEAT-PCKGD,DRUG GM,0.11195874268252407,0.5283720133595958,1.235957112808823,30849
DRUG GM,MEAT-PCKGD,0.11195874268252407,0.26189162344112127,1.2359571128088227,30849
GROCERY,MEAT,0.18611884343051255,0.23833380582136235,1.2313019560170315,51283
MEAT,GROCERY,0.18611884343051255,0.9615442306971163,1.2313019560170315,51283
GROCERY,PRODUCE,0.30502760044857535,0.39060198073178326,1.2103289269239097,84047
PRODUCE,GROCERY,0.30502760044857535,0.9451660425311786,1.2103289269239097,84047
DRUG GM,MEAT,0.0996519548956772,0.23310383469306326,1.2042823997354775,27458
MEAT,DRUG GM,0.0996519548956772,0.5148310646116924,1.2042823997354775,27458
DRUG GM,PRODUCE,0.16595109948138012,0.3881894509860518,1.2028534027781983,45726
PRODUCE,DRUG GM,0.16595109948138012,0.514220168010526,1.2028534027781983,45726
GROCERY,SEAFOOD,0.011842243747709036,0.01516454201967719,1.1979423003325211,3263
SEAFOOD,GROCERY,0.011842243747709036,0.935493119266055,1.1979423003325211,3263
DELI,DRUG GM,0.06498535597501624,0.5035433070866142,1.1778783059378621,17906
DRUG GM,DELI,0.06498535597501624,0.1520124285823436,1.177878305937862,17906
DRUG GM,PASTRY,0.054039537052830995,0.1264081906395117,1.1591968063573872,14890
PASTRY,DRUG GM,0.054039537052830995,0.4955569607614737,1.1591968063573872,14890
GROCERY,NUTRITION,0.055023063885693134,0.0704595836838265,1.1569252862557577,15161
NUTRITION,GROCERY,0.055023063885693134,0.9034622489720517,1.1569252862557577,15161
DELI,GROCERY,0.11603802002620318,0.8991282339707537,1.1513753791603385,31973
GROCERY,DELI,0.11603802002620318,0.14859206313059725,1.1513753791603385,31973
GROCERY,PASTRY,0.09743811220916096,0.12477401904514042,1.1442110171956916,26848
PASTRY,GROCERY,0.09743811220916096,0.8935334642393583,1.1442110171956916,26848
COSMETICS,GROCERY,0.015257368285433278,0.8209334114430775,1.051243284499515,4204
GROCERY,COSMETICS,0.015257368285433278,0.01953776728492887,1.051243284499515,4204
DRUG GM,GROCERY,0.3444049662661184,0.8056251220361142,1.0316403103582183,94897
GROCERY,DRUG GM,0.3444049662661184,0.4410265228444089,1.0316403103582181,94897
GROCERY,SALAD BAR,0.02335059646728775,0.029901521101625205,0.9804873524718205,6434
SALAD BAR,GROCERY,0.02335059646728775,0.7656789241937403,0.9804873524718204,6434
DRUG GM,SALAD BAR,0.012063628016360661,0.0282189943375243,0.925316372815317,3324
SALAD BAR,DRUG GM,0.012063628016360661,0.3955730096394145,0.925316372815317,3324
